Header,Line,Category,Identifier,Signature
werapi.h,356,TYPEDEF_WINAPI,PFN_WER_RUNTIME_EXCEPTION_EVENT,"typedef HRESULT (WINAPI *PFN_WER_RUNTIME_EXCEPTION_EVENT)("
werapi.h,365,TYPEDEF_WINAPI,PFN_WER_RUNTIME_EXCEPTION_DEBUGGER_LAUNCH,"typedef HRESULT (WINAPI *PFN_WER_RUNTIME_EXCEPTION_DEBUGGER_LAUNCH)("
werapi.h,374,TYPEDEF_WINAPI,PFN_WER_RUNTIME_EXCEPTION_EVENT_SIGNATURE,"typedef HRESULT (WINAPI *PFN_WER_RUNTIME_EXCEPTION_EVENT_SIGNATURE)("
wincon.h,167,TYPEDEF_WINAPI,PHANDLER_ROUTINE,"typedef WINBOOL (WINAPI *PHANDLER_ROUTINE)(DWORD CtrlType);"
wincon.h,254,API_DECL,GenerateConsoleCtrlEvent,"WINBASEAPI WINBOOL WINAPI GenerateConsoleCtrlEvent(DWORD dwCtrlEvent，DWORD dwProcessGroupId);"
wincon.h,257,API_DECL,AttachConsole,"WINBASEAPI WINBOOL WINAPI AttachConsole(DWORD dwProcessId);"
wincon.h,287,API_DECL,GetConsoleProcessList,"WINBASEAPI DWORD WINAPI GetConsoleProcessList(LPDWORD lpdwProcessList，DWORD dwProcessCount);"
cfgmgr32.h,888,TYPEDEF_CALLBACK,PCM_NOTIFY_CALLBACK,"typedef DWORD (CALLBACK *PCM_NOTIFY_CALLBACK)(HCMNOTIFICATION hNotify， PVOID Context， CM_NOTIFY_ACTION Action， PCM_NOTIFY_EVENT_DATA EventData， DWORD EventDataSize);"
shlwapi.h,1308,TYPEDEF_CALLBACK,DLLGETVERSIONPROC,"typedef HRESULT (CALLBACK *DLLGETVERSIONPROC)(DLLVERSIONINFO *);"
richedit.h,359,TYPEDEF_WINAPI,AutoCorrectProc,"typedef int (WINAPI *AutoCorrectProc) (LANGID langid， const WCHAR *pszBefore， WCHAR *pszAfter， LONG cchAfter， LONG *pcchReplaced);"
richedit.h,835,TYPEDEF_CALLBACK,EDITSTREAMCALLBACK,"typedef DWORD (CALLBACK *EDITSTREAMCALLBACK)(DWORD_PTR dwCookie， LPBYTE pbBuff， LONG cb， LONG *pcb);"
ws2tcpip.h,298,TYPEDEF_CALLBACK,LPLOOKUPSERVICE_COMPLETION_ROUTINE,"typedef void (CALLBACK * LPLOOKUPSERVICE_COMPLETION_ROUTINE)("
winsock2.h,562,TYPEDEF_CALLBACK,LPCONDITIONPROC,"typedef int (CALLBACK *LPCONDITIONPROC)(LPWSABUF lpCallerId，LPWSABUF lpCallerData，LPQOS lpSQOS，LPQOS lpGQOS，LPWSABUF lpCalleeId，LPWSABUF lpCalleeData，GROUP *g，DWORD_PTR dwCallbackData);"
winsock2.h,563,TYPEDEF_CALLBACK,LPWSAOVERLAPPED_COMPLETION_ROUTINE,"typedef void (CALLBACK *LPWSAOVERLAPPED_COMPLETION_ROUTINE)(DWORD dwError，DWORD cbTransferred，LPWSAOVERLAPPED lpOverlapped，DWORD dwFlags);"
evntprov.h,117,TYPEDEF_NTAPI,PENABLECALLBACK,"typedef VOID (NTAPI *PENABLECALLBACK) (LPCGUID SourceId， ULONG IsEnabled， UCHAR Level， ULONGLONG MatchAnyKeyword， ULONGLONG MatchAllKeyword， PEVENT_FILTER_DESCRIPTOR FilterData， PVOID CallbackContext);"
ddeml.h,155,TYPEDEF_CALLBACK,PFNCALLBACK,"typedef HDDEDATA (CALLBACK *PFNCALLBACK)(UINT wType，UINT wFmt，HCONV hConv，HSZ hsz1，HSZ hsz2，HDDEDATA hData，ULONG_PTR dwData1，ULONG_PTR dwData2);"
ddeml.h,155,TYPEDEF_CALLBACK,PFNCALLBACK,"typedef HDDEDATA (CALLBACK *PFNCALLBACK)(UINT wType，UINT wFmt，HCONV hConv，HSZ hsz1，HSZ hsz2，HDDEDATA hData，ULONG_PTR dwData1，ULONG_PTR dwData2);"
mmiscapi.h,57,,,"typedef LRESULT (CALLBACK* DRIVERPROC)(DWORD_PTR， HDRVR， UINT， LPARAM， LPARAM);"
mciapi.h,31,,,"typedef UINT (CALLBACK *YIELDPROC)(MCIDEVICEID mciId， DWORD dwYieldData);"
ws2tcpip.h,298,,,"typedef void (CALLBACK * LPLOOKUPSERVICE_COMPLETION_ROUTINE)("
winsock2.h,562,,,"typedef int (CALLBACK *LPCONDITIONPROC)(LPWSABUF lpCallerId，LPWSABUF lpCallerData，LPQOS lpSQOS，LPQOS lpGQOS，LPWSABUF lpCalleeId，LPWSABUF lpCalleeData，GROUP *g，DWORD_PTR dwCallbackData);"
winsock2.h,563,,,"typedef void (CALLBACK *LPWSAOVERLAPPED_COMPLETION_ROUTINE)(DWORD dwError，DWORD cbTransferred，LPWSAOVERLAPPED lpOverlapped，DWORD dwFlags);"
evntprov.h,117,,,"typedef VOID (NTAPI *PENABLECALLBACK) (LPCGUID SourceId， ULONG IsEnabled， UCHAR Level， ULONGLONG MatchAnyKeyword， ULONGLONG MatchAllKeyword， PEVENT_FILTER_DESCRIPTOR FilterData， PVOID CallbackContext);"
ddeml.h,155,,,"typedef HDDEDATA (CALLBACK *PFNCALLBACK)(UINT wType，UINT wFmt，HCONV hConv，HSZ hsz1，HSZ hsz2，HDDEDATA hData，ULONG_PTR dwData1，ULONG_PTR dwData2);"
